,Lat,Lon,FINAL_SEAMS_ZONE
479,41.475,-91.561,CBPC-NIPCO
626,41.475,-91.561,CBPC-NIPCO
479,41.538000000000004,-91.323,CBPC-NIPCO
483,41.538000000000004,-91.323,CBPC-NIPCO
497,41.538000000000004,-91.323,CBPC-NIPCO
515,41.538000000000004,-91.323,CBPC-NIPCO
608,41.538000000000004,-91.323,CBPC-NIPCO
479,41.582,-91.705,CBPC-NIPCO
480,41.582,-91.705,CBPC-NIPCO
483,41.582,-91.705,CBPC-NIPCO
479,41.605,-90.65100000000001,MEC
480,41.605,-90.65100000000001,MEC
483,41.605,-90.65100000000001,MEC
497,41.605,-90.65100000000001,MEC
605,41.605,-90.65100000000001,MEC
606,41.605,-90.65100000000001,MEC
607,41.605,-90.65100000000001,MEC
479,41.788999999999994,-90.76899999999999,MEC
483,41.788999999999994,-90.76899999999999,MEC
2790,41.788999999999994,-90.76899999999999,MEC
479,41.835,-91.14,CBPC-NIPCO
483,41.835,-91.14,CBPC-NIPCO
497,41.835,-91.14,CBPC-NIPCO
515,41.835,-91.14,CBPC-NIPCO
479,41.836999999999996,-91.271,CBPC-NIPCO
483,41.836999999999996,-91.271,CBPC-NIPCO
497,41.836999999999996,-91.271,CBPC-NIPCO
515,41.836999999999996,-91.271,CBPC-NIPCO
479,41.84,-90.54,MEC
483,41.84,-90.54,MEC
2790,41.84,-90.54,MEC
479,41.845,-90.807,MEC
483,41.845,-90.807,MEC
2790,41.845,-90.807,MEC
479,42.233999999999995,-91.647,CBPC-NIPCO
512,42.233999999999995,-91.647,CBPC-NIPCO
539,42.233999999999995,-91.647,CBPC-NIPCO
479,42.24100000000001,-91.803,CBPC-NIPCO
487,42.24100000000001,-91.803,CBPC-NIPCO
539,42.24100000000001,-91.803,CBPC-NIPCO
479,42.325,-90.625,MEC
486,42.325,-90.625,MEC
550,42.325,-90.625,MEC
551,42.325,-90.625,MEC
2790,42.325,-90.625,MEC
479,42.333,-90.493,MEC
486,42.333,-90.493,MEC
550,42.333,-90.493,MEC
551,42.333,-90.493,MEC
2790,42.333,-90.493,MEC
479,42.466,-90.73100000000001,MEC
486,42.466,-90.73100000000001,MEC
508,42.466,-90.73100000000001,MEC
479,42.512,-91.227,CBPC-NIPCO
486,42.512,-91.227,CBPC-NIPCO
567,42.512,-91.227,CBPC-NIPCO
568,42.512,-91.227,CBPC-NIPCO
479,42.825,-91.523,IA-E
488,42.825,-91.523,IA-E
532,42.825,-91.523,IA-E
533,42.825,-91.523,IA-E
534,42.825,-91.523,IA-E
479,43.117,-91.36,IA-E
488,43.117,-91.36,IA-E
1228,43.117,-91.36,IA-E
479,43.151,-91.81700000000001,IA-E
1228,43.151,-91.81700000000001,IA-E
479,43.208,-91.48100000000001,IA-E
488,43.208,-91.48100000000001,IA-E
1228,43.208,-91.48100000000001,IA-E
479,40.656,-92.773,MEC
503,40.656,-92.773,MEC
479,40.701,-92.80799999999999,MEC
503,40.701,-92.80799999999999,MEC
479,41.163000000000004,-93.897,IA-E
499,41.163000000000004,-93.897,IA-E
479,41.192,-93.39299999999999,MEC
480,41.192,-93.39299999999999,MEC
491,41.192,-93.39299999999999,MEC
589,41.192,-93.39299999999999,MEC
479,41.872,-93.53,MEC
480,41.872,-93.53,MEC
498,41.872,-93.53,MEC
514,41.872,-93.53,MEC
479,41.898,-93.71600000000001,MEC
480,41.898,-93.71600000000001,MEC
482,41.898,-93.71600000000001,MEC
583,41.898,-93.71600000000001,MEC
479,42.332,-93.613,CBPC-NIPCO
482,42.332,-93.613,CBPC-NIPCO
506,42.332,-93.613,NA
509,42.332,-93.613,NA
577,42.332,-93.613,NA
578,42.332,-93.613,NA
479,42.461999999999996,-92.661,CBPC-NIPCO
